Dataset,Owner,Create Date,Last Modified Date,KB,MB,GB
CDC_CONTRACTID_CNSRID,d1p3,2012-07-16,2012-07-16,124912,121.98,0.119
CDC_CONTRACTID_CNSRID_NONFEP,d1p3,2012-07-16,2012-07-16,146056,142.63,0.139
CDC_DIAB,d1p3,2012-07-16,2012-07-16,6064,5.92,0.006
CDC_DIAB2,d1p3,2012-07-17,2012-07-17,44768,43.72,0.043
CDC_DIAB_2012,d1p3,2016-01-25,2016-01-25,2864,2.8,0.003
CDC_DIAB_2013,d1p3,2016-01-29,2016-01-29,2984,2.91,0.003
CDC_DIAB_2014,d1p3,2016-01-29,2016-01-29,3392,3.31,0.003
CDC_DIAB_2015,d1p3,2016-01-31,2016-01-31,3528,3.45,0.003
CDC_DIAB_COSTS_2012,d1p3,2016-01-29,2016-01-29,25512,24.91,0.024
CDC_DIAB_COSTS_2013,d1p3,2016-01-29,2016-01-29,26552,25.93,0.025
CDC_DIAB_COSTS_2014,d1p3,2016-01-29,2016-01-29,30216,29.51,0.029
CDC_DIAB_COSTS_2015,d1p3,2016-01-31,2016-01-31,31400,30.66,0.03
CDC_DIAB_COSTS_ENRT_2012,d1p3,2016-01-31,2016-01-31,52736,51.5,0.05
CDC_DIAB_COSTS_ENRT_2013,d1p3,2016-01-31,2016-01-31,62920,61.45,0.06
CDC_DIAB_COSTS_ENRT_2014,d1p3,2016-01-31,2016-01-31,71144,69.48,0.068
CDC_DIAB_COSTS_ENRT_2015,d1p3,2016-01-31,2016-01-31,73896,72.16,0.07
CDC_DIAB_GEOG,d1p3,2012-07-16,2012-07-16,6040,5.9,0.006
CDC_DIAB_GEOG2,d1p3,2012-07-17,2012-07-17,72,0.07,0
CDC_FAM_DIAB,d1p3,2012-07-17,2012-07-17,336,0.33,0
CDC_FAM_DIAB_2012,d1p3,2016-01-25,2016-01-25,336,0.33,0
CDC_FAM_DIAB_2013,d1p3,2016-01-29,2016-01-29,336,0.33,0
CDC_FAM_DIAB_2014,d1p3,2016-01-29,2016-01-29,336,0.33,0
CDC_FAM_DIAB_2015,d1p3,2016-01-31,2016-01-31,336,0.33,0
CDC_FAM_DIAB_TRALE_PHA,d1p3,2012-07-17,2012-07-17,376,0.37,0
CDC_FAM_DIAB_TRALE_PHA_2012,d1p3,2016-01-25,2016-01-25,376,0.37,0
CDC_FAM_DIAB_TRALE_PHA_2013,d1p3,2016-01-29,2016-01-29,376,0.37,0
CDC_FAM_DIAB_TRALE_PHA_2014,d1p3,2016-01-29,2016-01-29,376,0.37,0
CDC_FAM_DIAB_TRALE_PHA_2015,d1p3,2016-01-31,2016-01-31,376,0.37,0
CDC_FAM_DIAB_WEBMD_PHA,d1p3,2012-07-17,2012-07-17,32,0.03,0
CDC_FAM_DIAB_WEBMD_PHA_2012,d1p3,2016-01-25,2016-01-25,32,0.03,0
CDC_FAM_DIAB_WEBMD_PHA_2013,d1p3,2016-01-29,2016-01-29,32,0.03,0
CDC_FAM_DIAB_WEBMD_PHA_2014,d1p3,2016-01-29,2016-01-29,32,0.03,0
CDC_FAM_DIAB_WEBMD_PHA_2015,d1p3,2016-01-31,2016-01-31,32,0.03,0
CDC_FINAL_DATASET,d1p3,2012-07-17,2012-07-17,134536,131.38,0.128
CDC_FINAL_DATASET_2012,d1p3,2016-01-25,2016-01-25,653032,637.73,0.623
CDC_FINAL_DATASET_2013,d1p3,2016-01-29,2016-01-29,669096,653.41,0.638
CDC_FINAL_DATASET_2014,d1p3,2016-01-29,2016-01-29,694088,677.82,0.662
CDC_FINAL_DATASET_2015,d1p3,2016-01-31,2016-01-31,741416,724.04,0.707
CDC_FINAL_DATASET_TEST,d1p3,2012-07-20,2012-07-20,137384,134.16,0.131
CDC_FINAL_DATASET_TEST_BMI,d1p3,2012-07-20,2012-07-20,2792,2.73,0.003
CDC_FINAL_DATASET_TEST_BMI_2012,d1p3,2016-01-25,2016-01-25,14120,13.79,0.013
CDC_FINAL_DATASET_ZIP,d1p3,2012-07-18,2012-07-18,137384,134.16,0.131
CDC_FINAL_DATASET_ZIP_INC_EDUC,d1p3,2012-07-18,2012-07-18,148296,144.82,0.141
CDC_GEST_DIAB_INST,d1p3,2012-07-17,2012-07-17,136,0.13,0
CDC_GEST_DIAB_INST_1ROW,d1p3,2016-01-25,2016-01-25,16,0.02,0
CDC_GEST_DIAB_INST_1ROW_2012,d1p3,2016-01-25,2016-01-25,16,0.02,0
CDC_GEST_DIAB_INST_1ROW_2013,d1p3,2016-01-29,2016-01-29,16,0.02,0
CDC_GEST_DIAB_INST_1ROW_2014,d1p3,2016-01-29,2016-01-29,16,0.02,0
CDC_GEST_DIAB_INST_1ROW_2015,d1p3,2016-01-31,2016-01-31,16,0.02,0
CDC_GEST_DIAB_INST_2012,d1p3,2016-01-25,2016-01-25,1608,1.57,0.002
CDC_GEST_DIAB_INST_2013,d1p3,2016-01-29,2016-01-29,2952,2.88,0.003
CDC_GEST_DIAB_INST_2014,d1p3,2016-01-29,2016-01-29,3848,3.76,0.004
CDC_GEST_DIAB_INST_2015,d1p3,2016-01-31,2016-01-31,4552,4.45,0.004
CDC_GEST_DIAB_INST_PROF,d1p3,2012-07-17,2012-07-17,16,0.02,0
CDC_GEST_DIAB_INST_PROF_2012,d1p3,2016-01-25,2016-01-25,16,0.02,0
CDC_GEST_DIAB_INST_PROF_2013,d1p3,2016-01-29,2016-01-29,24,0.02,0
CDC_GEST_DIAB_INST_PROF_2014,d1p3,2016-01-29,2016-01-29,32,0.03,0
CDC_GEST_DIAB_INST_PROF_2015,d1p3,2016-01-31,2016-01-31,32,0.03,0
CDC_GEST_DIAB_PROF,d1p3,2012-07-17,2012-07-17,456,0.45,0
CDC_GEST_DIAB_PROF_1ROW,d1p3,2012-07-17,2012-07-17,16,0.02,0
CDC_GEST_DIAB_PROF_1ROW_2012,d1p3,2016-01-25,2016-01-25,16,0.02,0
CDC_GEST_DIAB_PROF_1ROW_2013,d1p3,2016-01-29,2016-01-29,24,0.02,0
CDC_GEST_DIAB_PROF_1ROW_2014,d1p3,2016-01-29,2016-01-29,32,0.03,0
CDC_GEST_DIAB_PROF_1ROW_2015,d1p3,2016-01-31,2016-01-31,32,0.03,0
CDC_GEST_DIAB_PROF_2012,d1p3,2016-01-25,2016-01-25,3528,3.45,0.003
CDC_GEST_DIAB_PROF_2013,d1p3,2016-01-29,2016-01-29,8392,8.2,0.008
CDC_GEST_DIAB_PROF_2014,d1p3,2016-01-29,2016-01-29,15752,15.38,0.015
CDC_GEST_DIAB_PROF_2015,d1p3,2016-01-31,2016-01-31,19912,19.45,0.019
CDC_GLUCOSE,d1p3,2012-07-17,2012-07-17,54688,53.41,0.052
CDC_GLUCOSE_1ROW,d1p3,2012-07-17,2012-07-17,13384,13.07,0.013
CDC_GLUCOSE_1ROW_2012,d1p3,2016-01-25,2016-01-25,15104,14.75,0.014
CDC_GLUCOSE_1ROW_2013,d1p3,2016-01-29,2016-01-29,16176,15.8,0.015
CDC_GLUCOSE_1ROW_2014,d1p3,2016-01-29,2016-01-29,19304,18.85,0.018
CDC_GLUCOSE_1ROW_2015,d1p3,2016-01-31,2016-01-31,20056,19.59,0.019
CDC_GLUCOSE_2012,d1p3,2016-01-25,2016-01-25,62224,60.77,0.059
CDC_GLUCOSE_2013,d1p3,2016-01-29,2016-01-29,66472,64.91,0.063
CDC_GLUCOSE_2014,d1p3,2016-01-29,2016-01-29,80512,78.63,0.077
CDC_GLUCOSE_2015,d1p3,2016-01-31,2016-01-31,84400,82.42,0.08
CDC_GLUCOSE_2HR,d1p3,2012-07-17,2012-07-17,168,0.16,0
CDC_GLUCOSE_2HR_1ROW,d1p3,2012-07-17,2012-07-17,72,0.07,0
CDC_GLUCOSE_2HR_1ROW_2012,d1p3,2016-01-25,2016-01-25,80,0.08,0
CDC_GLUCOSE_2HR_1ROW_2013,d1p3,2016-01-29,2016-01-29,88,0.09,0
CDC_GLUCOSE_2HR_1ROW_2014,d1p3,2016-01-29,2016-01-29,96,0.09,0
CDC_GLUCOSE_2HR_1ROW_2015,d1p3,2016-01-31,2016-01-31,88,0.09,0
CDC_GLUCOSE_2HR_2012,d1p3,2016-01-25,2016-01-25,200,0.2,0
CDC_GLUCOSE_2HR_2013,d1p3,2016-01-29,2016-01-29,224,0.22,0
CDC_GLUCOSE_2HR_2014,d1p3,2016-01-29,2016-01-29,240,0.23,0
CDC_GLUCOSE_2HR_2015,d1p3,2016-01-31,2016-01-31,224,0.22,0
CDC_GLUCOSE_CLAIMS,d1p3,2012-07-17,2012-07-17,7688,7.51,0.007
CDC_GLUCOSE_CLAIMS_1ROW,d1p3,2012-07-17,2012-07-17,32,0.03,0
CDC_GLUCOSE_CLAIMS_1ROW_2012,d1p3,2016-01-25,2016-01-25,32,0.03,0
CDC_GLUCOSE_CLAIMS_1ROW_2013,d1p3,2016-01-29,2016-01-29,32,0.03,0
CDC_GLUCOSE_CLAIMS_1ROW_2014,d1p3,2016-01-29,2016-01-29,32,0.03,0
CDC_GLUCOSE_CLAIMS_1ROW_2015,d1p3,2016-01-31,2016-01-31,32,0.03,0
CDC_GLUCOSE_CLAIMS_2012,d1p3,2016-01-25,2016-01-25,19336,18.88,0.018
CDC_GLUCOSE_CLAIMS_2013,d1p3,2016-01-29,2016-01-29,19656,19.2,0.019
CDC_GLUCOSE_CLAIMS_2014,d1p3,2016-01-29,2016-01-29,18568,18.13,0.018
CDC_GLUCOSE_CLAIMS_2015,d1p3,2016-01-31,2016-01-31,13640,13.32,0.013
CDC_GLUCOSE_DIAB,d1p3,2012-07-16,2012-07-16,6440,6.29,0.006
CDC_GLUCOSE_PHA,d1p3,2012-07-17,2012-07-17,105800,103.32,0.101
CDC_GLUCOSE_PHA_1ROW,d1p3,2012-07-17,2012-07-17,1200,1.17,0.001
CDC_GLUCOSE_PHA_1ROW_2012,d1p3,2016-01-25,2016-01-25,1248,1.22,0.001
CDC_GLUCOSE_PHA_1ROW_2013,d1p3,2016-01-29,2016-01-29,1224,1.2,0.001
CDC_GLUCOSE_PHA_1ROW_2014,d1p3,2016-01-29,2016-01-29,1520,1.48,0.001
CDC_GLUCOSE_PHA_1ROW_2015,d1p3,2016-01-31,2016-01-31,1152,1.13,0.001
CDC_GLUCOSE_PHA_2012,d1p3,2016-01-25,2016-01-25,122760,119.88,0.117
CDC_GLUCOSE_PHA_2013,d1p3,2016-01-29,2016-01-29,120328,117.51,0.115
CDC_GLUCOSE_PHA_2014,d1p3,2016-01-29,2016-01-29,155592,151.95,0.148
CDC_GLUCOSE_PHA_2015,d1p3,2016-01-31,2016-01-31,121032,118.2,0.115
CDC_GLUCOSE_PROF_1ROW_2012,d1p3,2016-01-25,2016-01-25,216,0.21,0
CDC_GLUCOSE_PROF_1ROW_2013,d1p3,2016-01-29,2016-01-29,232,0.23,0
CDC_GLUCOSE_PROF_1ROW_2014,d1p3,2016-01-29,2016-01-29,256,0.25,0
CDC_GLUCOSE_PROF_1ROW_2015,d1p3,2016-01-31,2016-01-31,216,0.21,0
CDC_GLUCOSE_PROF_CLAIMS,d1p3,2012-07-17,2012-07-17,142920,139.57,0.136
CDC_GLUCOSE_PROF_CLAIMS_1ROW,d1p3,2012-07-17,2012-07-17,160,0.16,0
CDC_GLUCOSE_PROF_CLAIMS_2012,d1p3,2016-01-25,2016-01-25,225032,219.76,0.215
CDC_GLUCOSE_PROF_CLAIMS_2013,d1p3,2016-01-29,2016-01-29,260104,254.01,0.248
CDC_GLUCOSE_PROF_CLAIMS_2014,d1p3,2016-01-29,2016-01-29,279240,272.7,0.266
CDC_GLUCOSE_PROF_CLAIMS_2015,d1p3,2016-01-31,2016-01-31,221576,216.38,0.211
CDC_HBA1C,d1p3,2012-07-17,2012-07-17,14472,14.13,0.014
CDC_HBA1C_1ROW,d1p3,2012-07-17,2012-07-17,3640,3.55,0.003
CDC_HBA1C_1ROW_2012,d1p3,2016-01-25,2016-01-25,4432,4.33,0.004
CDC_HBA1C_1ROW_2013,d1p3,2016-01-29,2016-01-29,5072,4.95,0.005
CDC_HBA1C_1ROW_2014,d1p3,2016-01-29,2016-01-29,6632,6.48,0.006
CDC_HBA1C_1ROW_2015,d1p3,2016-01-31,2016-01-31,7528,7.35,0.007
CDC_HBA1C_2012,d1p3,2016-01-25,2016-01-25,17408,17,0.017
CDC_HBA1C_2013,d1p3,2016-01-29,2016-01-29,19472,19.02,0.019
CDC_HBA1C_2014,d1p3,2016-01-29,2016-01-29,25560,24.96,0.024
CDC_HBA1C_2015,d1p3,2016-01-31,2016-01-31,29040,28.36,0.028
CDC_KBM,d1p3,2012-07-17,2012-07-17,5608,5.48,0.005
CDC_KBM_NON_DIAB,d1p3,2012-07-17,2012-07-17,83672,81.71,0.08
CDC_KBM_NON_DIAB2,d1p3,2012-07-18,2012-07-18,103040,100.63,0.098
CDC_KBM_NON_DIAB2_2012,d1p3,2016-01-25,2016-01-25,417608,407.82,0.398
CDC_KBM_NON_DIAB2_2013,d1p3,2016-01-29,2016-01-29,438440,428.16,0.418
CDC_KBM_NON_DIAB2_2014,d1p3,2016-01-29,2016-01-29,454808,444.15,0.434
CDC_KBM_NON_DIAB2_2015,d1p3,2016-01-31,2016-01-31,485816,474.43,0.463
CDC_KBM_NON_DIAB_GEST,d1p3,2012-07-17,2012-07-17,83672,81.71,0.08
CDC_LARGE_BABY,d1p3,2012-07-17,2012-07-17,776,0.76,0.001
CDC_LARGE_BABY_2012,d1p3,2016-01-25,2016-01-25,1608,1.57,0.002
CDC_LARGE_BABY_2013,d1p3,2016-01-29,2016-01-29,1544,1.51,0.001
CDC_LARGE_BABY_2014,d1p3,2016-01-29,2016-01-29,1736,1.7,0.002
CDC_LARGE_BABY_2015,d1p3,2016-01-31,2016-01-31,1864,1.82,0.002
CDC_LARGE_BABY_MED_PHA,d1p3,2012-07-17,2012-07-17,48,0.05,0
CDC_LARGE_BABY_MED_PHA_2012,d1p3,2016-01-25,2016-01-25,72,0.07,0
CDC_LARGE_BABY_MED_PHA_2013,d1p3,2016-01-29,2016-01-29,72,0.07,0
CDC_LARGE_BABY_MED_PHA_2014,d1p3,2016-01-29,2016-01-29,72,0.07,0
CDC_LARGE_BABY_MED_PHA_2015,d1p3,2016-01-31,2016-01-31,72,0.07,0
CDC_LARGE_BABY_PHA,d1p3,2012-07-17,2012-07-17,72,0.07,0
CDC_LARGE_BABY_PHA_2012,d1p3,2016-01-25,2016-01-25,152,0.15,0
CDC_LARGE_BABY_PHA_2013,d1p3,2016-01-29,2016-01-29,152,0.15,0
CDC_LARGE_BABY_PHA_2014,d1p3,2016-01-29,2016-01-29,152,0.15,0
CDC_LARGE_BABY_PHA_2015,d1p3,2016-01-31,2016-01-31,152,0.15,0
CDC_NON_DIAB,d1p3,2012-07-17,2012-07-17,45016,43.96,0.043
CDC_NON_DIAB_2012,d1p3,2016-01-25,2016-01-25,182408,178.13,0.174
CDC_NON_DIAB_2013,d1p3,2016-01-29,2016-01-29,191512,187.02,0.183
CDC_NON_DIAB_2014,d1p3,2016-01-29,2016-01-29,198664,194.01,0.189
CDC_NON_DIAB_2015,d1p3,2016-01-31,2016-01-31,212200,207.23,0.202
CDC_NON_DIAB_PREDIAB,d1p3,2012-07-17,2012-07-17,63976,62.48,0.061
CDC_NON_DIAB_PREDIAB_2012,d1p3,2016-01-25,2016-01-25,259304,253.23,0.247
CDC_NON_DIAB_PREDIAB_2013,d1p3,2016-01-29,2016-01-29,272232,265.85,0.26
CDC_NON_DIAB_PREDIAB_2014,d1p3,2016-01-29,2016-01-29,282408,275.79,0.269
CDC_NON_DIAB_PREDIAB_2015,d1p3,2016-01-31,2016-01-31,301656,294.59,0.288
CDC_NON_DIAB_PREDIAB_GEST,d1p3,2012-07-17,2012-07-17,67272,65.7,0.064
CDC_NON_DIAB_PREDIAB_GEST_2012,d1p3,2016-01-25,2016-01-25,272664,266.27,0.26
CDC_NON_DIAB_PREDIAB_GEST_2013,d1p3,2016-01-29,2016-01-29,286264,279.55,0.273
CDC_NON_DIAB_PREDIAB_GEST_2014,d1p3,2016-01-29,2016-01-29,296952,289.99,0.283
CDC_NON_DIAB_PREDIAB_GEST_2015,d1p3,2016-01-31,2016-01-31,317208,309.77,0.303
CDC_PREDIAB_COSTS_2012,d1p3,2016-01-29,2016-01-29,234392,228.9,0.224
CDC_PREDIAB_COSTS_2013,d1p3,2016-01-29,2016-01-29,243080,237.38,0.232
CDC_PREDIAB_COSTS_2014,d1p3,2016-01-29,2016-01-29,265352,259.13,0.253
CDC_PREDIAB_COSTS_2015,d1p3,2016-01-31,2016-01-31,276296,269.82,0.263
CDC_PREDIAB_COSTS_ENRT_2012,d1p3,2016-01-31,2016-01-31,286224,279.52,0.273
CDC_PREDIAB_COSTS_ENRT_2013,d1p3,2016-01-31,2016-01-31,332424,324.63,0.317
CDC_PREDIAB_COSTS_ENRT_2014,d1p3,2016-01-31,2016-01-31,363336,354.82,0.347
CDC_PREDIAB_COSTS_ENRT_2015,d1p3,2016-01-31,2016-01-31,379016,370.13,0.361
CDC_SEDENTARY,d1p3,2012-07-17,2012-07-17,128,0.13,0
CDC_SEDENTARY_2012,d1p3,2016-01-25,2016-01-25,152,0.15,0
CDC_SEDENTARY_2013,d1p3,2016-01-29,2016-01-29,72,0.07,0
CDC_SEDENTARY_2014,d1p3,2016-01-29,2016-01-29,152,0.15,0
CDC_SEDENTARY_2015,d1p3,2016-01-31,2016-01-31,128,0.13,0
CDC_WEIGHT_HEIGHT,d1p3,2012-07-17,2012-07-17,1304,1.27,0.001
CDC_WEIGHT_HEIGHT_2012,d1p3,2016-01-25,2016-01-25,1128,1.1,0.001
CDC_WEIGHT_HEIGHT_2013,d1p3,2016-01-29,2016-01-29,1296,1.27,0.001
CDC_WEIGHT_HEIGHT_2014,d1p3,2016-01-29,2016-01-29,1544,1.51,0.001
CDC_WEIGHT_HEIGHT_2015,d1p3,2016-01-31,2016-01-31,1368,1.34,0.001
CDC_WEIGHT_HEIGHT_RISK,d1p3,2012-07-17,2012-07-17,744,0.73,0.001
CDC_WEIGHT_HEIGHT_RISK_2012,d1p3,2016-01-25,2016-01-25,656,0.64,0.001
CDC_WEIGHT_HEIGHT_RISK_2013,d1p3,2016-01-29,2016-01-29,760,0.74,0.001
CDC_WEIGHT_HEIGHT_RISK_2014,d1p3,2016-01-29,2016-01-29,840,0.82,0.001
CDC_WEIGHT_HEIGHT_RISK_2015,d1p3,2016-01-31,2016-01-31,736,0.72,0.001
CHRONIC_CONDITIONS_INST_1,e8ja,2016-07-05,2016-07-05,4747720,4636.45,4.528
CLAIMS_100K_201410,d1p3,2015-01-15,2015-01-15,1960,1.91,0.002
CLAIMS_100K_NOV13_OCT14,d1p3,2015-01-15,2015-01-15,1960,1.91,0.002
CLAIMS_100K_OCT2014,d1p3,2015-01-13,2015-01-13,200,0.2,0
CLAIMS_50K_201410,d1p3,2015-01-22,2015-01-22,5656,5.52,0.005
CLAIM_AMT_1_201603,f3vc,2016-07-13,2016-07-13,694688,678.41,0.663
CLAIM_AMT_201212,d1p3,2015-02-17,2015-02-17,491128,479.62,0.468
CLAIM_AMT_201312,d1p3,2015-02-17,2015-02-17,507560,495.66,0.484
CLAIM_AMT_201410,d1p3,2015-01-22,2015-01-22,575448,561.96,0.549
CLAIM_AMT_201412,d1p3,2015-10-27,2015-10-27,562344,549.16,0.536
CLAIM_AMT_201501,d1p3,2015-05-05,2015-05-05,587960,574.18,0.561
CLAIM_AMT_201503,d1p3,2015-04-08,2015-04-08,505768,493.91,0.482
CLAIM_AMT_201504,d1p3,2015-05-05,2015-05-05,505768,493.91,0.482
CLAIM_AMT_201505,d1p3,2015-06-12,2015-06-12,518824,506.66,0.495
CLAIM_AMT_201506,e8yf,2015-07-24,2015-07-24,137480,134.26,0.131
CLAIM_AMT_201507,e8yf,2015-08-14,2015-08-14,536072,523.51,0.511
CLAIM_AMT_201508,d1p3,2015-10-07,2015-10-07,532072,519.6,0.507
CLAIM_AMT_201509,e8yf,2015-10-16,2015-10-16,551304,538.38,0.526
CLAIM_AMT_201510,e8yf,2015-11-18,2015-11-18,560056,546.93,0.534
CLAIM_AMT_201511,e8yf,2015-12-16,2015-12-16,723728,706.77,0.69
CLAIM_AMT_201512,e8yf,2016-02-01,2016-02-01,731672,714.52,0.698
CLAIM_AMT_201601,e8yf,2016-02-23,2016-02-23,661160,645.66,0.631
CLAIM_AMT_201602,f3vc,2016-04-04,2016-04-04,669392,653.7,0.638
CLAIM_AMT_201603,f3s3,2016-07-14,2016-07-14,694688,678.41,0.663
CLAIM_AMT_201604,f3s3,2016-07-14,2016-07-14,706376,689.82,0.674
CLAIM_AMT_ACA_201506,e8yf,2015-07-28,2015-07-28,137480,134.26,0.131
CLAIM_AMT_BG,d1ie,2015-06-15,2015-06-15,603496,589.35,0.576
CLAIM_AMT_EG_201506,e8yf,2015-08-03,2015-08-03,430832,420.73,0.411
CLAIM_AMT_EV201507,d1p3,2015-09-18,2015-09-18,533992,521.48,0.509
CLAIM_AMT_EV201508,f3vc,2015-09-24,2015-09-24,540472,527.8,0.515
CLAIM_AMT_PODS_201412,d1p3,2015-10-23,2015-10-23,562344,549.16,0.536
CLAIM_AMT_PODS_201507,d1p3,2015-09-14,2015-09-14,533992,521.48,0.509
CLM_2014,d1p3,2016-02-24,2016-02-24,30936,30.21,0.03
CM_COSTS_MEMMONTHS,d1p3,2014-10-27,2014-10-27,5512,5.38,0.005
CM_DM_HCC10P,f0de,2015-05-29,2015-05-29,200,0.2,0
CM_INST_COSTS2,d1p3,2014-10-27,2014-10-27,2024,1.98,0.002
CM_MBR_SUMMARY_FINAL,d1p3,2014-10-29,2014-10-29,6664,6.51,0.006
CM_MEMMONTHS,d1p3,2014-10-27,2014-10-27,1256,1.23,0.001
CM_PART_2012_2013,d1p3,2014-07-31,2014-07-31,1040,1.02,0.001
CM_PART_2012_2013_NEW,d1p3,2014-10-23,2014-10-23,160,0.16,0
CM_PROF_CAT,d1p3,2014-10-27,2014-10-27,106232,103.74,0.101
CM_PROF_COSTS,d1p3,2014-10-27,2014-10-27,1848,1.8,0.002
CM_ROI_FINAL,d1p3,2014-10-29,2014-10-29,6984,6.82,0.007
CM_ROI_FINAL_CLS_RSN,d1p3,2014-11-11,2014-11-11,6472,6.32,0.006
CM_RX_COSTS,d1p3,2014-10-27,2014-10-27,408,0.4,0
CM_TOT_COSTS,d1p3,2014-10-27,2014-10-27,4616,4.51,0.004
CM_TOT_COSTS_PRE2,d1p3,2014-10-24,2014-10-24,1224,1.2,0.001
CM_TOT_COSTS_UNITS,d1p3,2014-10-27,2014-10-27,4808,4.7,0.005
CM_TOT_COSTS_UNITS_PRE2,d1p3,2014-10-24,2014-10-24,1224,1.2,0.001
COMBINED_CHRONIC_CONDITIONS_1,e8ja,2016-07-20,2016-07-20,21533960,21029.26,20.536
COMBINE_OMW_ELIG_102314,f3a9,2014-10-23,2014-10-23,9032,8.82,0.009
COMBINE_OMW_ELIG_110614,f3a9,2014-11-06,2014-11-06,11080,10.82,0.011
COMBINE_OMW_ELIG_112014,f3a9,2014-11-20,2014-11-20,12616,12.32,0.012
COMBINE_OMW_ELIG_120414,f3a9,2014-12-04,2014-12-04,13896,13.57,0.013
COMBINE_OMW_ELIG_121714,f3a9,2014-12-17,2014-12-17,15176,14.82,0.014
COMM_FL_IN,d1p3,2015-10-07,2015-10-07,219536,214.39,0.209
COMM_FULL_DEEPDIVE2,d1p3,2015-02-27,2015-02-27,2192,2.14,0.002
COMM_MEDAV_AGE_TEST2,d1p3,2013-09-25,2013-09-25,170504,166.51,0.163
COMM_PODS_ALL,d1p3,2015-10-14,2015-10-14,4312,4.21,0.004
CONSLD_BMD_OMW_102314,f3a9,2014-10-24,2014-10-24,776,0.76,0.001
CONSLD_BMD_OMW_110614,f3a9,2014-11-07,2014-11-07,904,0.88,0.001
CONSLD_BMD_OMW_112014,f3a9,2014-11-21,2014-11-21,968,0.95,0.001
CONSLD_BMD_OMW_120414,f3a9,2014-12-05,2014-12-05,1096,1.07,0.001
CONSLD_BMD_OMW_121714,f3a9,2014-12-17,2014-12-17,1160,1.13,0.001
CONSLD_OMW_102314,f3a9,2014-10-23,2014-10-23,115912,113.2,0.111
CONSLD_OMW_110614,f3a9,2014-11-06,2014-11-06,145480,142.07,0.139
CONSLD_OMW_112014,f3a9,2014-11-20,2014-11-20,167304,163.38,0.16
CONSLD_OMW_120414,f3a9,2014-12-04,2014-12-04,187144,182.76,0.178
CONSLD_OMW_121714,f3a9,2014-12-17,2014-12-17,208264,203.38,0.199
CONSLD_OMW_HISTORY_102314,f3a9,2014-10-23,2014-10-23,42696,41.7,0.041
CONSLD_OMW_HISTORY_110614,f3a9,2014-11-06,2014-11-06,49416,48.26,0.047
CONSLD_OMW_HISTORY_112014,f3a9,2014-11-20,2014-11-20,54216,52.95,0.052
CONSLD_OMW_HISTORY_120414,f3a9,2014-12-04,2014-12-04,58504,57.13,0.056
CONSLD_OMW_HISTORY_121714,f3a9,2014-12-17,2014-12-17,62472,61.01,0.06
CONSLD_PERSISTBB_010715,d1p3,2015-01-07,2015-01-07,79048,77.2,0.075
CONSLD_PERSISTBB_020515,d1p3,2015-02-05,2015-03-27,191880,187.38,0.183
CONSLD_PERSISTBB_041115,d1p3,2015-04-11,2015-04-11,122440,119.57,0.117
CONSLD_PERSISTBB_051715,d1p3,2015-05-17,2015-06-15,475528,464.38,0.453
CONSLD_PERSISTBB_071015,d1p3,2015-07-10,2015-07-10,181320,177.07,0.173
CONSLD_PERSISTBB_080114,f3a9,2014-08-01,2014-08-01,5000,4.88,0.005
CONSLD_PERSISTBB_080214,f3a9,2014-08-01,2014-08-01,181832,177.57,0.173
CONSLD_PERSISTBB_081415,d1p3,2015-08-14,2015-08-14,202632,197.88,0.193
CONSLD_PERSISTBB_091915,d1p3,2015-09-19,2015-09-19,213640,208.63,0.204
CONSLD_PERSISTBB_102414,f3a9,2014-10-24,2014-10-24,42056,41.07,0.04
CONSLD_PERSISTBB_110714,f3a9,2014-11-07,2014-11-07,48840,47.7,0.047
CONSLD_PERSISTBB_112114,f3a9,2014-11-21,2014-11-21,55944,54.63,0.053
CONSLD_PERSISTBB_120514,f3a9,2014-12-05,2014-12-05,62408,60.95,0.06
CONSLD_PERSISTBB_121714,f3a9,2014-12-17,2014-12-17,69192,67.57,0.066
CONVCC_LIST_GEO,d7yp,2013-10-23,2013-10-23,56,0.05,0
CORECHRON,e2a6,2012-01-06,2012-01-06,3008,2.94,0.003
CORTICO,f6n9,2013-08-09,2013-08-09,24,0.02,0
CORTICO_DT_14,f6n9,2013-08-09,2013-08-09,32,0.03,0
CORTICO_RX,f6n9,2013-08-09,2013-08-09,152,0.15,0
COSTS_CARE_10P_HCC,f0de,2015-06-01,2015-06-01,1864,1.82,0.002
COSTS_MED_RX_10P_HCC,f0de,2015-05-29,2015-05-29,103432,101.01,0.099
COSTS_SUM_10P_HCC,f0de,2015-05-27,2015-05-27,16,0.02,0
COST_DEMOG_PART,d1p3,2013-12-31,2013-12-31,16,0.02,0
CPT_RISK_FACTORS,d1p3,2014-01-16,2014-01-16,186080,181.72,0.177
CPT_RISK_FACTORS_2013,d1p3,2014-01-27,2014-01-27,223328,218.09,0.213
CTM,d1p3,2014-09-04,2014-09-04,166088,162.2,0.158
CTM_CARE_GAPS,d1p3,2014-11-03,2014-11-03,4328,4.23,0.004
CTM_FINAL_POD,f3vc,2016-06-01,2016-06-01,24,0.02,0
CTM_LANG_NOV14,d1p3,2014-11-20,2014-11-20,329144,321.43,0.314
CTM_PREDICTION_01DEC14,e8yf,2014-12-02,2014-12-02,50248,49.07,0.048
CTM_PREDICTION_02DEC14,e8yf,2014-12-02,2014-12-02,50376,49.2,0.048
